frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,904.97,50.67
1,0.0333,0.00,904.97,50.67
2,0.0667,0.00,904.97,50.67
3,0.1000,0.00,904.97,50.67
4,0.1333,0.00,904.97,50.67
5,0.1667,0.00,904.97,50.67
6,0.2000,0.00,904.97,50.67
7,0.2333,0.00,904.97,50.67
8,0.2667,0.00,904.97,50.67
9,0.3000,0.00,904.97,50.67
10,0.3333,0.00,885.97,52.07
11,0.3667,0.00,867.22,53.31
12,0.4000,0.00,848.98,54.40
13,0.4333,0.00,831.50,55.37
14,0.4667,0.00,815.00,56.21
15,0.5000,0.00,799.73,56.94
16,0.5333,0.00,785.88,57.57
17,0.5667,0.00,773.64,58.09
18,0.6000,0.00,763.18,58.52
19,0.6333,0.00,754.63,58.86
20,0.6667,0.00,748.12,59.11
21,0.7000,0.00,743.73,59.28
22,0.7333,0.00,741.52,59.36
23,0.7667,0.00,761.98,38.16
24,0.8000,0.00,807.47,47.26
25,0.8333,0.00,852.95,55.95
26,0.8667,0.00,898.43,64.03
27,0.9000,0.00,1006.55,91.22
28,0.9333,0.00,1074.81,127.76
29,0.9667,0.00,1132.17,164.30
30,1.0000,0.00,1178.64,200.84
31,1.0333,0.00,1214.20,237.38
32,1.0667,0.00,1238.86,273.92
33,1.1000,0.00,1252.62,310.46
34,1.1333,0.00,1255.49,347.01
35,1.1667,0.00,1247.45,383.55
36,1.2000,0.00,1228.51,420.09
37,1.2333,0.00,1173.16,445.67
38,1.2667,0.00,1132.42,482.21
39,1.3000,0.00,1080.78,518.75
40,1.3333,0.00,1018.24,555.29
41,1.3667,0.00,944.81,591.83
42,1.4000,0.00,882.07,626.32
43,1.4333,0.00,845.68,628.59
44,1.4667,0.00,809.29,630.51
45,1.5000,0.00,793.82,631.24
46,1.5333,0.00,793.82,631.24
47,1.5667,0.00,793.82,631.24
48,1.6000,0.00,793.82,631.24
49,1.6333,0.00,793.82,631.24
50,1.6667,0.00,793.82,631.24
51,1.7000,0.00,793.82,631.24
52,1.7333,0.00,794.77,631.19
53,1.7666,0.00,807.44,630.60
54,1.8000,0.00,819.92,629.98
55,1.8333,0.00,832.05,629.35
56,1.8666,0.00,843.66,628.71
57,1.9000,0.00,854.60,628.07
58,1.9333,0.00,864.71,627.46
59,1.9666,0.00,873.87,626.87
60,2.0000,0.00,881.94,626.33
61,2.0333,0.00,888.83,625.84
62,2.0666,0.00,894.42,625.44
63,2.1000,0.00,898.66,625.12
64,2.1333,0.00,901.48,624.90
