frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,904.97,50.67
1,0.0333,0.00,904.97,50.67
2,0.0667,0.00,904.97,50.67
3,0.1000,0.00,904.97,50.67
4,0.1333,0.00,904.97,50.67
5,0.1667,0.00,904.97,50.67
6,0.2000,0.00,904.97,50.67
7,0.2333,0.00,904.97,50.67
8,0.2667,0.00,904.97,50.67
9,0.3000,0.00,904.97,50.67
10,0.3333,0.00,885.97,52.07
11,0.3667,0.00,867.22,53.31
12,0.4000,0.00,848.98,54.40
13,0.4333,0.00,831.50,55.37
14,0.4667,0.00,815.00,56.21
15,0.5000,0.00,799.73,56.94
16,0.5333,0.00,785.88,57.57
17,0.5667,0.00,773.64,58.09
18,0.6000,0.00,763.18,58.52
19,0.6333,0.00,754.63,58.86
20,0.6667,0.00,748.12,59.11
21,0.7000,0.00,743.73,59.28
22,0.7333,0.00,741.52,59.36
23,0.7667,0.00,761.98,38.16
24,0.8000,0.00,807.47,47.26
25,0.8333,0.00,852.95,55.95
26,0.8667,0.00,898.43,64.03
27,0.9000,0.00,989.05,82.69
28,0.9333,0.00,1042.55,109.76
29,0.9667,0.00,1090.06,136.83
30,1.0000,0.00,1131.60,163.89
31,1.0333,0.00,1167.15,190.96
32,1.0667,0.00,1196.72,218.03
33,1.1000,0.00,1220.31,245.10
34,1.1333,0.00,1237.92,272.16
35,1.1667,0.00,1249.55,299.23
36,1.2000,0.00,1255.20,326.30
37,1.2333,0.00,1254.87,353.37
38,1.2667,0.00,1248.56,380.43
39,1.3000,0.00,1236.26,407.50
40,1.3333,0.00,1192.47,423.61
41,1.3667,0.00,1168.22,450.68
42,1.4000,0.00,1137.98,477.74
43,1.4333,0.00,1101.77,504.81
44,1.4667,0.00,1059.57,531.88
45,1.5000,0.00,1011.39,558.95
46,1.5333,0.00,957.23,586.01
47,1.5667,0.00,895.30,625.37
48,1.6000,0.00,858.92,627.81
49,1.6333,0.00,822.53,629.85
50,1.6667,0.00,793.82,631.24
51,1.7000,0.00,793.82,631.24
52,1.7333,0.00,793.82,631.24
53,1.7666,0.00,793.82,631.24
54,1.8000,0.00,793.82,631.24
55,1.8333,0.00,793.82,631.24
56,1.8666,0.00,793.82,631.24
57,1.9000,0.00,793.82,631.24
58,1.9333,0.00,802.84,630.82
59,1.9666,0.00,815.41,630.21
60,2.0000,0.00,827.69,629.58
61,2.0333,0.00,839.51,628.94
62,2.0666,0.00,850.71,628.30
63,2.1000,0.00,861.14,627.68
64,2.1333,0.00,870.66,627.08
65,2.1666,0.00,879.14,626.52
66,2.2000,0.00,886.47,626.01
67,2.2333,0.00,892.54,625.58
68,2.2666,0.00,897.28,625.22
69,2.3000,0.00,900.62,624.97
70,2.3333,0.00,902.51,624.82
