frame,t_s,x_mm,y_mm,z_mm
0,0.0000,-19.54,1010.57,53.56
1,0.0333,-19.52,1008.96,104.93
2,0.0667,-19.50,1005.86,154.39
3,0.1000,-19.44,1001.46,204.11
4,0.1333,-16.70,996.65,256.85
5,0.1667,-9.98,992.64,315.91
6,0.2000,-1.48,989.44,392.50
7,0.2333,6.99,988.24,488.09
8,0.2667,13.82,991.08,587.34
9,0.3000,16.85,993.46,681.85
10,0.3333,16.48,993.51,769.33
11,0.3667,14.88,995.96,863.09
12,0.4000,12.31,1018.70,959.76
13,0.4333,8.86,1041.36,1052.98
14,0.4667,4.89,1058.42,1150.25
15,0.5000,0.60,1060.57,1246.75
16,0.5333,-3.59,1047.88,1348.96
17,0.5667,-7.37,1028.37,1461.17
18,0.6000,-10.83,1004.84,1572.19
19,0.6333,-13.81,983.23,1676.15
20,0.6667,-16.00,990.48,1770.39
21,0.7000,-17.01,990.80,1861.88
22,0.7333,-16.73,990.71,1957.91
23,0.7667,-15.19,993.52,2058.43
24,0.8000,-12.55,1014.25,2154.86
25,0.8333,-9.20,1041.54,2249.36
26,0.8667,-5.27,1057.71,2346.31
27,0.9000,-1.03,1059.67,2443.62
28,0.9333,3.05,1046.84,2548.44
29,0.9667,6.78,1027.89,2662.95
30,1.0000,10.17,1004.78,2777.40
31,1.0333,13.08,983.16,2885.40
32,1.0667,15.25,990.32,2983.99
33,1.1000,16.25,990.61,3079.94
34,1.1333,15.97,990.36,3180.35
35,1.1667,14.43,992.69,3285.18
36,1.2000,11.92,1014.75,3385.63
37,1.2333,8.62,1042.80,3485.48
38,1.2667,4.68,1059.09,3586.71
39,1.3000,0.41,1061.25,3687.86
40,1.3333,-3.85,1049.12,3792.04
41,1.3667,-7.58,1027.39,3908.85
42,1.4000,-11.06,1001.38,4024.30
43,1.4333,-14.04,979.67,4136.59
44,1.4667,-16.26,986.72,4240.61
45,1.5000,-17.34,986.72,4342.96
46,1.5333,-17.07,990.27,4450.77
47,1.5667,-15.41,994.49,4561.83
48,1.6000,-12.54,1007.21,4673.17
49,1.6333,-8.52,1028.61,4776.01
50,1.6667,-3.89,1044.04,4875.80
51,1.7000,0.86,1051.86,4970.70
52,1.7333,5.12,1043.64,5072.35
53,1.7667,9.49,1030.18,5177.98
54,1.8000,14.48,1017.97,5276.07
55,1.8333,19.11,1002.98,5338.77
56,1.8667,22.97,1010.19,5369.23
57,1.9000,26.40,1017.26,5383.53
58,1.9333,32.89,1030.37,5394.31
59,1.9667,31.26,1037.98,5413.36
60,2.0000,25.92,1037.45,5457.18
61,2.0333,23.34,1060.22,5524.24
62,2.0667,21.78,1127.88,5613.53
63,2.1000,20.34,1196.63,5737.99
64,2.1333,18.81,1264.70,5882.14
65,2.1667,19.01,1319.37,6027.88
66,2.2000,19.58,1351.77,6169.26
67,2.2333,9.84,1368.00,6327.27
68,2.2667,5.29,1364.14,6486.65
69,2.3000,2.75,1350.87,6626.38
70,2.3333,1.03,1336.66,6751.02
71,2.3667,0.16,1319.62,6881.82
72,2.4000,-0.33,1282.02,7016.19
73,2.4333,-0.79,1240.09,7150.25
74,2.4667,-2.32,1186.85,7274.88
75,2.5000,-5.06,1130.34,7374.58
76,2.5333,-8.10,1060.81,7457.61
77,2.5667,-10.55,994.90,7535.29
78,2.6000,-14.20,1010.52,7603.24
79,2.6333,-17.47,1019.78,7662.10
80,2.6667,-20.05,1003.61,7710.50
81,2.7000,-21.85,990.81,7749.11
82,2.7333,-22.50,975.83,7782.41
83,2.7667,-21.71,959.41,7813.18
84,2.8000,-19.54,943.25,7844.12
85,2.8333,-15.91,927.65,7872.58
86,2.8667,-10.83,912.15,7895.06
87,2.9000,-4.57,897.23,7912.96
88,2.9333,3.10,883.41,7927.73
89,2.9667,12.26,871.14,7940.55
90,3.0000,22.44,860.79,7952.58
91,3.0333,33.18,852.75,7965.06
92,3.0667,44.16,847.56,7979.27
93,3.1000,54.97,846.57,7996.96
94,3.1333,65.41,849.98,8021.12
95,3.1667,76.82,857.81,8059.29
96,3.2000,87.43,869.96,8101.91
97,3.2333,95.25,881.12,8137.37
98,3.2667,101.95,891.65,8172.18
99,3.3000,108.07,902.22,8205.78
100,3.3333,112.81,912.31,8232.45
101,3.3667,117.18,920.89,8255.64
102,3.4000,121.97,926.47,8278.20
103,3.4333,127.76,929.44,8300.50
104,3.4667,135.36,932.37,8323.21
105,3.5000,144.63,942.37,8345.86
106,3.5333,158.79,956.63,8372.61
107,3.5667,176.49,970.37,8401.21
108,3.6000,195.12,976.79,8427.00
109,3.6333,214.12,975.32,8448.18
110,3.6667,236.91,972.71,8470.34
111,3.7000,261.92,969.66,8491.28
112,3.7333,287.63,967.52,8509.16
113,3.7667,313.23,965.13,8523.91
114,3.8000,338.44,961.75,8536.33
115,3.8333,363.30,959.10,8546.93
116,3.8667,388.39,958.41,8556.61
117,3.9000,416.58,958.59,8566.90
118,3.9333,450.23,960.24,8578.48
119,3.9667,484.87,965.14,8589.69
120,4.0000,516.05,975.57,8599.23
121,4.0333,542.03,986.07,8606.57
122,4.0667,569.49,994.70,8615.15
123,4.1000,600.71,998.14,8626.02
124,4.1333,634.00,984.10,8638.47
125,4.1667,664.53,985.28,8651.13
126,4.2000,691.21,996.43,8662.77
127,4.2333,717.72,997.56,8674.23
128,4.2667,746.57,988.94,8685.54
129,4.3000,783.38,972.03,8697.02
130,4.3333,826.15,955.85,8708.31
131,4.3667,871.22,966.58,8718.98
132,4.4000,918.94,972.93,8728.43
133,4.4333,967.37,978.27,8736.68
134,4.4667,1014.36,986.22,8743.86
135,4.5000,1063.71,994.75,8750.72
136,4.5333,1117.07,1000.72,8757.46
137,4.5667,1174.58,987.40,8763.85
138,4.6000,1231.56,984.27,8769.65
139,4.6333,1284.85,1004.28,8774.74
140,4.6667,1335.94,1018.32,8778.97
141,4.7000,1385.33,1023.63,8782.31
142,4.7333,1437.86,1017.01,8785.12
143,4.7667,1492.01,1000.37,8787.43
144,4.8000,1546.01,975.57,8789.17
145,4.8333,1597.33,954.57,8790.64
146,4.8667,1642.66,969.20,8792.23
147,4.9000,1683.44,975.00,8794.07
148,4.9333,1718.87,977.55,8796.23
149,4.9667,1753.01,984.39,8799.02
150,5.0000,1787.90,992.51,8802.47
151,5.0333,1823.72,998.24,8806.46
152,5.0667,1861.77,984.59,8810.84
153,5.1000,1898.22,982.52,8815.42
154,5.1333,1930.43,1005.26,8820.10
155,5.1667,1960.18,1021.85,8824.75
156,5.2000,1988.28,1029.18,8829.19
157,5.2333,2018.50,1025.46,8833.32
158,5.2667,2049.32,1012.34,8837.09
159,5.3000,2078.29,990.78,8840.44
160,5.3333,2102.48,971.68,8842.96
161,5.3667,2120.50,987.48,8844.36
162,5.4000,2140.36,994.27,8844.55
163,5.4333,2160.60,995.57,8843.78
164,5.4667,2179.14,997.03,8842.41
165,5.5000,2194.97,999.00,8840.56
166,5.5333,2208.26,1000.44,8838.38
167,5.5667,2220.01,1000.51,8836.02
168,5.6000,2230.75,1000.02,8833.59
169,5.6333,2241.35,999.75,8831.16
170,5.6667,2250.82,1000.05,8828.32
171,5.7000,2258.90,1000.83,8825.14
172,5.7333,2265.71,1001.99,8821.79
173,5.7667,2271.38,1003.42,8818.47
174,5.8000,2276.05,1005.00,8815.34
175,5.8333,2279.86,1006.64,8812.59
176,5.8667,2282.94,1008.21,8810.40
177,5.9000,2285.44,1009.61,8808.95
178,5.9333,2287.52,1010.73,8807.97
179,5.9667,2289.29,1011.46,8807.06
180,6.0000,2290.81,1011.70,8806.23
181,6.0333,2292.06,1011.74,8805.46
182,6.0667,2293.03,1011.95,8804.75
183,6.1000,2293.74,1012.31,8804.11
184,6.1333,2294.23,1012.80,8803.52
185,6.1667,2294.53,1013.40,8802.99
186,6.2000,2294.69,1014.09,8802.50
187,6.2333,2294.70,1014.84,8802.07
188,6.2667,2294.60,1015.63,8801.69
189,6.3000,2294.40,1016.44,8801.34
190,6.3333,2294.14,1017.25,8801.04
191,6.3667,2293.85,1018.03,8800.77
192,6.4000,2293.55,1018.77,8800.53
193,6.4333,2293.27,1019.45,8800.33
194,6.4667,2293.05,1020.06,8800.15
195,6.5000,2292.92,1020.56,8800.00
196,6.5333,2292.89,1020.94,8799.86
197,6.5667,2292.93,1021.17,8799.74
198,6.6000,2293.07,1021.25,8799.63
199,6.6333,2293.27,1021.19,8799.53
200,6.6667,2293.46,1021.02,8799.44
201,6.7000,2293.66,1020.75,8799.36
202,6.7333,2293.85,1020.41,8799.29
203,6.7667,2294.03,1019.99,8799.23
204,6.8000,2294.21,1019.52,8799.18
205,6.8333,2294.37,1019.02,8799.14
206,6.8667,2294.52,1018.49,8799.11
207,6.9000,2294.66,1017.94,8799.08
208,6.9333,2294.78,1017.39,8799.06
209,6.9667,2294.88,1016.86,8799.05
210,7.0000,2294.96,1016.36,8799.05
211,7.0333,2295.02,1015.89,8799.05
212,7.0667,2295.05,1015.48,8799.06
213,7.1000,2295.07,1015.14,8799.08
214,7.1333,2295.06,1014.87,8799.10
215,7.1667,2295.02,1014.70,8799.12
216,7.2000,2294.96,1014.63,8799.15
217,7.2333,2294.88,1014.66,8799.18
218,7.2667,2294.78,1014.74,8799.22
219,7.3000,2294.66,1014.88,8799.25
220,7.3333,2294.53,1015.07,8799.30
221,7.3667,2294.40,1015.29,8799.34
222,7.4000,2294.25,1015.55,8799.38
223,7.4333,2294.10,1015.83,8799.43
224,7.4667,2293.94,1016.12,8799.48
225,7.5000,2293.78,1016.42,8799.52
226,7.5333,2293.62,1016.72,8799.57
227,7.5667,2293.46,1017.02,8799.62
228,7.6000,2293.31,1017.30,8799.67
229,7.6333,2293.16,1017.55,8799.71
230,7.6667,2293.03,1017.78,8799.75
231,7.7000,2292.90,1017.97,8799.79
232,7.7333,2292.79,1018.11,8799.83
233,7.7667,2292.70,1018.20,8799.87
234,7.8000,2292.62,1018.23,8799.90
235,7.8333,2292.59,1018.09,8799.93
236,7.8667,2292.60,1017.75,8799.95
237,7.9000,2292.64,1017.30,8799.97
238,7.9333,2292.69,1016.86,8799.99
239,7.9667,2292.73,1016.51,8800.00
