frame,t_s,x_mm,y_mm,z_mm
0,0.0000,-19.43,1010.18,43.58
1,0.0333,-19.40,1008.66,94.05
2,0.0667,-19.34,1005.59,141.75
3,0.1000,-19.24,1001.77,188.90
4,0.1333,-16.59,996.58,244.96
5,0.1667,-10.09,991.57,314.80
6,0.2000,-1.61,989.02,397.30
7,0.2333,6.99,988.71,487.49
8,0.2667,13.82,989.71,578.05
9,0.3000,16.80,990.26,666.12
10,0.3333,16.49,994.52,749.18
11,0.3667,14.85,1005.28,837.94
12,0.4000,12.27,1018.45,931.46
13,0.4333,8.91,1027.97,1029.84
14,0.4667,4.99,1027.51,1132.28
15,0.5000,0.90,1021.20,1240.98
16,0.5333,-3.19,1014.85,1351.68
17,0.5667,-7.15,1008.90,1459.69
18,0.6000,-10.74,1003.48,1562.46
19,0.6333,-13.76,997.50,1659.04
20,0.6667,-15.90,990.77,1750.23
21,0.7000,-16.92,986.09,1838.02
22,0.7333,-16.67,991.02,1928.30
23,0.7667,-15.13,1002.98,2024.16
24,0.8000,-12.60,1016.84,2122.34
25,0.8333,-9.29,1026.68,2223.35
26,0.8667,-5.39,1026.41,2327.17
27,0.9000,-1.33,1019.96,2435.79
28,0.9333,2.65,1013.57,2548.54
29,0.9667,6.52,1007.87,2659.09
30,1.0000,10.06,1002.60,2765.43
31,1.0333,13.03,996.61,2866.24
32,1.0667,15.16,989.83,2961.62
33,1.1000,16.18,985.19,3053.45
34,1.1333,15.96,990.40,3148.79
35,1.1667,14.42,1002.51,3249.39
36,1.2000,11.90,1016.52,3352.31
37,1.2333,8.60,1026.47,3457.95
38,1.2667,4.71,1026.28,3566.03
39,1.3000,0.56,1019.82,3676.65
40,1.3333,-3.46,1012.64,3793.79
41,1.3667,-7.38,1006.68,3907.60
42,1.4000,-10.96,1001.28,4016.46
43,1.4333,-14.00,995.24,4120.69
44,1.4667,-16.20,988.39,4221.44
45,1.5000,-17.31,983.96,4319.65
46,1.5333,-17.04,989.59,4423.26
47,1.5667,-15.36,1002.43,4531.72
48,1.6000,-12.48,1016.13,4641.09
49,1.6333,-8.68,1026.55,4750.13
50,1.6667,-4.18,1027.45,4857.89
51,1.7000,0.71,1022.00,4962.37
52,1.7333,5.06,1013.55,5072.54
53,1.7667,9.58,1008.56,5175.28
54,1.8000,14.10,1006.80,5267.91
55,1.8333,18.70,1009.52,5335.29
56,1.8667,22.82,1012.04,5370.73
57,1.9000,25.54,1012.45,5387.95
58,1.9333,26.73,1024.70,5399.12
59,1.9667,27.40,1052.18,5415.37
60,2.0000,28.29,1081.72,5450.80
61,2.0333,34.32,1095.46,5511.43
62,2.0667,24.17,1090.12,5599.98
63,2.1000,19.28,1117.77,5711.60
64,2.1333,16.59,1162.96,5831.39
65,2.1667,16.76,1218.15,5952.60
66,2.2000,20.17,1268.84,6074.33
67,2.2333,15.30,1319.15,6197.56
68,2.2667,8.34,1358.49,6327.90
69,2.3000,3.44,1383.63,6453.88
70,2.3333,0.28,1392.14,6565.76
71,2.3667,-0.92,1386.17,6658.26
72,2.4000,-1.19,1368.21,6747.15
73,2.4333,-1.36,1341.27,6836.71
74,2.4667,-2.09,1309.83,6924.90
75,2.5000,-3.31,1277.74,7008.92
76,2.5333,-4.85,1245.74,7089.64
77,2.5667,-6.47,1217.53,7168.75
78,2.6000,-8.35,1203.32,7240.34
