frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,531.69,0.00
1,0.0333,0.00,531.69,-0.37
2,0.0667,0.00,531.69,-0.73
3,0.1000,0.00,531.69,-1.09
4,0.1333,0.00,531.69,-1.43
5,0.1667,-0.00,531.69,-1.76
6,0.2000,-0.00,531.69,-2.07
7,0.2333,0.00,531.69,-2.35
8,0.2667,0.00,531.69,-2.61
9,0.3000,0.00,531.69,-2.84
10,0.3333,0.00,531.69,-3.03
11,0.3667,0.00,531.69,-3.20
12,0.4000,0.00,531.69,-3.33
13,0.4333,-0.00,524.31,-3.42
14,0.4667,0.00,517.09,-3.47
15,0.5000,0.00,510.20,-3.49
16,0.5333,0.00,503.79,-3.47
17,0.5667,-0.00,498.01,-3.42
18,0.6000,0.00,492.97,-3.33
19,0.6333,0.00,488.80,-3.20
20,0.6667,0.00,485.59,-3.03
21,0.7000,0.00,483.41,-2.84
22,0.7333,0.00,482.31,-2.61
23,0.7667,0.00,490.42,-2.35
24,0.8000,-0.00,506.93,-2.07
25,0.8333,-0.00,523.43,-1.76
26,0.8667,0.00,550.53,7.62
27,0.9000,0.00,584.43,7.62
28,0.9333,0.00,612.77,7.62
29,0.9667,0.00,635.55,7.62
30,1.0000,0.00,652.76,7.62
31,1.0333,0.00,664.42,7.62
32,1.0667,0.00,670.51,7.62
33,1.1000,0.00,671.04,7.62
34,1.1333,0.00,666.01,7.62
35,1.1667,0.00,655.42,7.62
36,1.2000,0.00,639.27,7.62
37,1.2333,0.00,617.56,7.62
38,1.2667,0.00,590.28,7.62
39,1.3000,0.00,557.45,7.62
40,1.3333,0.00,519.50,3.03
41,1.3667,0.00,499.21,3.20
42,1.4000,0.00,508.27,3.33
43,1.4333,-0.00,531.69,3.42
44,1.4667,0.00,531.69,3.47
45,1.5000,0.00,531.69,3.49
46,1.5333,0.00,531.69,3.47
47,1.5667,-0.00,531.69,3.42
48,1.6000,0.00,531.69,3.33
49,1.6333,0.00,531.69,3.20
50,1.6667,0.00,531.69,3.03
51,1.7000,0.00,531.69,2.84
52,1.7333,0.00,531.69,2.61
53,1.7666,0.00,531.69,2.35
54,1.8000,-0.00,531.69,2.07
55,1.8333,-0.00,531.69,1.76
56,1.8666,0.00,531.69,1.43
57,1.9000,0.00,531.69,1.09
